"order_year","order_month","total_revenue"
2016,9,143.45999
2016,10,46490.64
2016,12,19.619999
2017,1,127482.49
2017,2,271239.4
2017,3,414330.88
2017,4,390812.2
2017,5,566851.1
2017,6,490050.5
2017,7,566297.6
2017,8,645830.0
2017,9,701073.8
2017,10,751114.1
2017,11,1153360.4
2017,12,843075.7
2018,1,1077883.5
2018,2,966163.5
2018,3,1120600.6
2018,4,1132880.5
2018,5,1128773.6
2018,6,1011979.0
2018,7,1027808.75
2018,8,985491.4
